timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1558924475479,32251,HTTP Request,200,,Thread Group 1-1865,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32251,0,0
1558924475649,32104,HTTP Request,200,,Thread Group 1-391,text,true,,148,258,2500,2500,http://localhost:8080/pagamento,32104,0,0
1558924475838,31928,HTTP Request,200,,Thread Group 1-1916,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,31928,0,1
1558924475118,32652,HTTP Request,200,,Thread Group 1-1030,text,true,,148,258,2500,2500,http://localhost:8080/pagamento,32652,0,6
1558924475828,31950,HTTP Request,200,,Thread Group 1-587,text,true,,148,258,2500,2500,http://localhost:8080/pagamento,31950,0,0
1558924475449,32345,HTTP Request,200,,Thread Group 1-1854,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32345,0,0
1558924475498,32309,HTTP Request,200,,Thread Group 1-1873,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32308,0,1
1558924475445,32368,HTTP Request,200,,Thread Group 1-1853,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32368,0,1
1558924475467,32367,HTTP Request,200,,Thread Group 1-1861,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32367,0,1
1558924475473,32369,HTTP Request,200,,Thread Group 1-1863,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32368,0,0
1558924475475,32366,HTTP Request,200,,Thread Group 1-1864,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32366,0,0
1558924475430,32423,HTTP Request,200,,Thread Group 1-1851,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32423,0,0
1558924475463,32399,HTTP Request,200,,Thread Group 1-1859,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32399,0,0
1558924475451,32414,HTTP Request,200,,Thread Group 1-1855,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32414,0,0
1558924475481,32399,HTTP Request,200,,Thread Group 1-1867,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32399,0,1
1558924475471,32475,HTTP Request,200,,Thread Group 1-1862,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32475,0,0
1558924475484,32468,HTTP Request,200,,Thread Group 1-1868,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32468,0,0
1558924475438,32524,HTTP Request,200,,Thread Group 1-1852,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32524,0,0
1558924469166,39053,HTTP Request,200,,Thread Group 1-948,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,39053,0,7124
1558924468891,39352,HTTP Request,200,,Thread Group 1-846,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,39352,0,7143
1558924468972,39275,HTTP Request,200,,Thread Group 1-871,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,39275,0,7062
1558924468885,39373,HTTP Request,200,,Thread Group 1-845,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,39373,0,7149
1558924476054,32241,HTTP Request,200,,Thread Group 1-1938,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32241,0,0
1558924469231,39098,HTTP Request,200,,Thread Group 1-967,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,39098,0,7059
1558924475668,32683,HTTP Request,200,,Thread Group 1-1908,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32683,0,1
1558924475524,32847,HTTP Request,200,,Thread Group 1-1878,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32847,0,1
1558924475658,32719,HTTP Request,200,,Thread Group 1-1907,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32719,0,1
1558924475663,32725,HTTP Request,200,,Thread Group 1-385,text,true,,148,258,2500,2500,http://localhost:8080/pagamento,32725,0,0
1558924475652,32766,HTTP Request,200,,Thread Group 1-453,text,true,,148,258,2500,2500,http://localhost:8080/pagamento,32766,0,1
1558924475933,32511,HTTP Request,200,,Thread Group 1-1924,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32511,0,8
1558924475540,32910,HTTP Request,200,,Thread Group 1-1885,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32910,0,0
1558924475617,32846,HTTP Request,200,,Thread Group 1-1901,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32846,0,5
1558924475561,32902,HTTP Request,200,,Thread Group 1-1888,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32902,0,1
1558924475637,32829,HTTP Request,200,,Thread Group 1-1903,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32829,0,1
1558924475630,32836,HTTP Request,200,,Thread Group 1-1904,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32836,0,13
1558924475571,32905,HTTP Request,200,,Thread Group 1-1895,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32905,0,0
1558924475635,32843,HTTP Request,200,,Thread Group 1-499,text,true,,148,258,2500,2500,http://localhost:8080/pagamento,32843,0,0
1558924475571,32920,HTTP Request,200,,Thread Group 1-1894,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32920,0,0
1558924475645,32854,HTTP Request,200,,Thread Group 1-1906,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32854,0,0
1558924475608,32892,HTTP Request,200,,Thread Group 1-303,text,true,,148,258,2500,2500,http://localhost:8080/pagamento,32892,0,1
1558924476171,32337,HTTP Request,200,,Thread Group 1-1945,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32337,0,1
1558924475618,32895,HTTP Request,200,,Thread Group 1-751,text,true,,148,258,2500,2500,http://localhost:8080/pagamento,32895,0,1
1558924475601,32918,HTTP Request,200,,Thread Group 1-1898,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32918,0,0
1558924475587,32934,HTTP Request,200,,Thread Group 1-1896,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32934,0,1
1558924475608,32919,HTTP Request,200,,Thread Group 1-1899,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32919,0,0
